Bit,Description,Right
0x80000000,RIGHT_GENERIC_READ,GR
0x40000000,RIGHT_GENERIC_WRITE,GW
0x20000000,RIGHT_GENERIC_EXECUTE,GX
0x10000000,RIGHT_GENERIC_ALL,GA
0x00080000,RIGHT_WRITE_OWNER,WO
0x00040000,RIGHT_WRITE_DAC,WD
0x00020000,RIGHT_READ_CONTROL,RC
0x00010000,RIGHT_DELETE,DE
0x00000100,RIGHT_DE_CONTROL_ACCESS,CR
0x00000080,RIGHT_DS_LIST_OBJECT,LO
0x00000040,RIGHT_DS_DELETE_TREE,DT
0x00000020,RIGHT_DS_WRITE_PROPERTY,WP
0x00000010,RIGHT_DS_READ_PROPERTY,PR
0x00000008,RIGHT_DS_WRITE_PROPERTY_EXTENDED,VW
0x00000004,RIGHT_DS_LIST_CONTENTS,LC
0x00000002,RIGHT_DS_DELETE_CHILD,DC
0x00000001,RIGHT_DS_CREATE_CHILD,CC
